idContact,idContactlist
13744982.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MAGIG BOX"" } } }"
13744985.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MASTER PLAC"" } } }"
13744987.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MEGATEX S.A"" } } }"
13744988.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MERCAR"" } } }"
13744989.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""METROVIA"" } } }"
13744992.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MULTIPARTES"" } } }"
13744993.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MULTIPARTES"" } } }"
13744994.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""MUSICAR"" } } }"
13744996.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""NUFARM DE COLOMBIA S.A"" } } }"
13744998.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""OPEN SYSTEM LTDA"" } } }"
